iter	Logloss
0	0.6617420213
1	0.6331609305
2	0.6064785842
3	0.5825144593
4	0.5605010107
5	0.540368451
6	0.5220749744
7	0.504539962
8	0.488908665
9	0.4748189838
10	0.4624324929
11	0.4504817626
12	0.4393612937
13	0.429433045
14	0.4200444245
15	0.4113537557
16	0.4036601286
17	0.3967339427
18	0.3900724179
19	0.3837433992
20	0.378754026
21	0.3735012334
22	0.3694853606
23	0.3655841554
24	0.3621868103
25	0.3589570332
26	0.3550691749
27	0.3513664381
28	0.3485144884
29	0.346928863
30	0.34319967
31	0.3412560631
32	0.3390689164
33	0.3367671675
34	0.3345208149
35	0.3325032462
36	0.33055803
37	0.3289991147
38	0.3272423291
39	0.3259324458
40	0.3247564336
41	0.3231405309
42	0.3216605561
43	0.3202766868
44	0.3189295917
45	0.318463408
46	0.3173136626
47	0.3164788787
48	0.3156938901
49	0.3146333389
50	0.3141994026
51	0.3133029909
52	0.3123976841
53	0.3120302538
54	0.3110502105
55	0.3104201095
56	0.309762736
57	0.3089384894
58	0.3081996955
59	0.3077240911
60	0.3071951108
61	0.3068339608
62	0.3064802978
63	0.3061538669
64	0.3058507496
65	0.3052621604
66	0.3048949773
67	0.3045352137
68	0.3042486135
69	0.3037314674
70	0.3032414922
71	0.3023234583
72	0.3016896879
73	0.3011693054
74	0.3008780552
75	0.3006331627
76	0.3003225024
77	0.3000990526
78	0.2999333962
79	0.2997510852
80	0.2995184564
81	0.2992548725
82	0.2989199358
83	0.2986389601
84	0.2984990194
85	0.2979677445
86	0.2977300181
87	0.2973865015
88	0.2972019968
89	0.2968708967
90	0.2963481797
91	0.2961200359
92	0.2959735191
93	0.2956230854
94	0.2953768235
95	0.2950746216
96	0.2949371584
97	0.2947765282
98	0.2945062728
99	0.2943435631
100	0.2939533946
101	0.2937665513
102	0.2936087134
103	0.2934545882
104	0.293346266
105	0.2931469915
106	0.2929717255
107	0.2926532973
108	0.2924019972
109	0.2921191283
110	0.2918371963
111	0.2916458428
112	0.291462259
113	0.2911728472
114	0.2910079723
115	0.2908844285
116	0.290629476
117	0.2905147497
118	0.2902210563
119	0.2900408553
120	0.2898820519
121	0.2897246407
122	0.2895402338
123	0.2892830596
124	0.2891003113
125	0.2888649199
126	0.2886664825
127	0.2885101853
128	0.2883926352
129	0.2882718863
130	0.2880561061
131	0.2879020926
132	0.2877179605
133	0.2874510894
134	0.2873507733
135	0.2871332417
136	0.2870088067
137	0.2868669985
138	0.2864221706
139	0.286072823
140	0.2859521613
141	0.2855270354
142	0.2853635538
143	0.2851636743
144	0.2849521801
145	0.2847670086
146	0.28457896
147	0.2843776016
148	0.2842257444
149	0.2841001144
150	0.2838976885
151	0.2837319118
152	0.2836157255
153	0.2835949718
154	0.283500903
155	0.2833054682
156	0.2832238663
157	0.2830825046
158	0.2830025634
159	0.2828583293
160	0.2827831402
161	0.2826673559
162	0.2825697764
163	0.2823738857
164	0.2822313557
165	0.2820917961
166	0.2819925614
167	0.281852378
168	0.2817754753
169	0.2816511588
170	0.2814845868
171	0.2813117819
172	0.2810730848
173	0.2809031028
174	0.2807987275
175	0.2806307977
176	0.2805249984
177	0.2804970701
178	0.2803724761
179	0.2801496598
180	0.2800109906
181	0.2799636774
182	0.2798145487
183	0.2796744688
184	0.2795365134
185	0.2794395067
186	0.2792723393
187	0.2791236664
188	0.2790709176
189	0.278906048
190	0.2788276975
191	0.2786467041
192	0.2784808917
193	0.2783194056
194	0.2781772758
195	0.2779765484
196	0.2778072883
197	0.2776244083
198	0.2773902306
199	0.2772337628
200	0.2769584735
201	0.27691004
202	0.2768246838
203	0.2767538729
204	0.2766765371
205	0.2765955601
206	0.2764853651
207	0.2763292037
208	0.2761669724
209	0.2760788905
210	0.2760170547
211	0.2759434334
212	0.2757312443
213	0.2756106144
214	0.2755206419
215	0.2753719508
216	0.2752869362
217	0.2752265245
218	0.2751463033
219	0.2749722721
220	0.2747991959
221	0.2746921917
222	0.2745155687
223	0.2744103038
224	0.2742599712
225	0.2742142175
226	0.2740616025
227	0.2739532479
228	0.2738944141
229	0.2737906295
230	0.273597733
231	0.2734932347
232	0.2733426888
233	0.2731449431
234	0.2730677279
235	0.2729645953
236	0.27285893
237	0.2726945296
238	0.2726532285
239	0.2725630088
240	0.2724466172
241	0.2723610252
242	0.2721689106
243	0.2719773578
244	0.2719008048
245	0.2717674707
246	0.2716701268
247	0.2714991991
248	0.2713031256
249	0.2712338653
250	0.2710782176
251	0.2709862987
252	0.2708783899
253	0.2707136884
254	0.2705169014
255	0.270341233
256	0.2701422943
257	0.2699313187
258	0.2698462792
259	0.2697592859
260	0.2696751029
261	0.2695353676
262	0.2693313174
263	0.2692548738
264	0.2691753315
265	0.2690870299
266	0.2689272246
267	0.2688554284
268	0.2687218362
269	0.2686723913
270	0.2685168827
271	0.2683027333
272	0.2682486813
273	0.2681546106
274	0.2681044615
275	0.2680661992
276	0.267879391
277	0.267732499
278	0.2676457622
279	0.2675684886
280	0.267496623
281	0.2673679508
282	0.2673151169
283	0.2671542827
284	0.2670663211
285	0.2669418632
286	0.2668901312
287	0.2667760026
288	0.2667360714
289	0.2665789942
290	0.2663441824
291	0.2662630809
292	0.2660169333
293	0.2658985144
294	0.2657916648
295	0.2656998087
296	0.2655833703
297	0.2653707656
298	0.2652437392
299	0.2651249564
300	0.2650508573
301	0.2647706955
302	0.2645936182
303	0.2644899428
304	0.2644472102
305	0.2643660872
306	0.2642095494
307	0.2640593587
308	0.263848666
309	0.2636530714
310	0.2636072166
311	0.2634455873
312	0.2631708034
313	0.2631123939
314	0.2630014629
315	0.2628425108
316	0.2627798677
317	0.2627116816
318	0.2625123968
319	0.2623617921
320	0.2623160088
321	0.2622873504
322	0.2621161587
323	0.2620059301
324	0.2619094717
325	0.2618579528
326	0.2617131834
327	0.2616437981
328	0.2614543055
329	0.2611888397
330	0.2609857325
331	0.2609002247
332	0.2608586089
333	0.2607518585
334	0.260614085
335	0.260551701
336	0.2602903775
337	0.260173237
338	0.2601304296
339	0.2598935837
340	0.2596744992
341	0.2594544477
342	0.2592631778
343	0.2591661503
344	0.2590080453
345	0.2588627619
346	0.2587659788
347	0.2586469495
348	0.2585323918
349	0.2584923213
350	0.2583594906
351	0.2581938498
352	0.2580575641
353	0.2577763417
354	0.2577226248
355	0.2575945154
356	0.2574579121
357	0.2573471962
358	0.2573229427
359	0.257277634
360	0.2570504136
361	0.2568143868
362	0.2567367102
363	0.2566877442
364	0.2565677456
365	0.2564652387
366	0.2563752304
367	0.2561791439
368	0.2561222806
369	0.2560047777
370	0.2559318817
371	0.2558119241
372	0.2557338324
373	0.2556346607
374	0.2555278929
375	0.2554912796
376	0.2552899215
377	0.2551554216
378	0.2550153806
379	0.2549790122
380	0.2548268367
381	0.2546823541
382	0.2544436287
383	0.2542954164
384	0.2542499157
385	0.2540508847
386	0.2539795206
387	0.2538824278
388	0.2537502278
389	0.2536706872
390	0.2535927632
391	0.2534801312
392	0.2534291556
393	0.253206594
394	0.2530899151
395	0.2529104071
396	0.2527611694
397	0.2526768163
398	0.2524652822
399	0.2523801084
400	0.2522334998
401	0.252006228
402	0.2519391067
403	0.2517733318
404	0.2516621456
405	0.2515971186
406	0.2514137246
407	0.2513221806
408	0.2511647801
409	0.2510771432
410	0.2509355541
411	0.2507795975
412	0.2507197782
413	0.2506712221
414	0.2506158822
415	0.2504310041
416	0.2503583524
417	0.2499971531
418	0.249848383
419	0.2497818041
420	0.2497055487
421	0.249581965
422	0.2493422927
423	0.2492212108
424	0.2490770739
425	0.2490090836
426	0.2489027615
427	0.2487514652
428	0.2486300368
429	0.2485013026
430	0.24837236
431	0.2481597829
432	0.2481513141
433	0.2480660328
434	0.2479457444
435	0.2478144108
436	0.2477488646
437	0.2477045397
438	0.2476066319
439	0.2475681261
440	0.2474441195
441	0.2473148262
442	0.2472041344
443	0.2471719591
444	0.2470963138
445	0.2470255847
446	0.2469538779
447	0.2468509901
448	0.246582841
449	0.2464918206
450	0.2464570908
451	0.2464392471
452	0.2463943692
453	0.2462556462
454	0.246009769
455	0.2459335918
456	0.2457398144
457	0.2456932671
458	0.2454491863
459	0.2453536633
460	0.245225637
461	0.2451239629
462	0.2450034487
463	0.2448377946
464	0.244718598
465	0.2446113792
466	0.2445614834
467	0.2444907331
468	0.2443586423
469	0.2442134525
470	0.2441833494
471	0.244089861
472	0.2440194519
473	0.2439498498
474	0.2438638231
475	0.2436986906
476	0.2435196705
477	0.2434714038
478	0.2433341358
479	0.2432495652
480	0.2431815626
481	0.2430805232
482	0.2429276644
483	0.2428442388
484	0.2426948834
485	0.2426377138
486	0.242547882
487	0.2424414968
488	0.2423258097
489	0.2422379028
490	0.242071183
491	0.2419653581
492	0.2419382305
493	0.241862709
494	0.2417083795
495	0.2416017865
496	0.2415684588
497	0.2414094662
498	0.2412957979
499	0.2411892313
500	0.2410099027
501	0.240827133
502	0.2407685063
503	0.2406298566
504	0.2405599932
505	0.2405270508
506	0.2404060976
507	0.240248495
508	0.2401955597
509	0.240001711
510	0.2399357055
511	0.2398463205
512	0.2397576043
513	0.2396209527
514	0.2394935579
515	0.2394150428
516	0.2393185825
517	0.2392710215
518	0.2392278461
519	0.239160819
520	0.239085578
521	0.2389444044
522	0.2388352224
523	0.2386840735
524	0.2385204378
525	0.2384818015
526	0.2382746933
527	0.2382315142
528	0.2379616367
529	0.2378825479
530	0.2378010123
531	0.2377548095
532	0.2376293313
533	0.2375548497
534	0.2374067693
535	0.2373154399
536	0.2372412126
537	0.2371877549
538	0.2371758459
539	0.2370583974
540	0.2369634731
541	0.2368601906
542	0.2366945347
543	0.236616486
544	0.2365322729
545	0.2364044162
546	0.2363601171
547	0.236252052
548	0.2361612648
549	0.2359757442
550	0.2358712529
551	0.2358122416
552	0.2357020154
553	0.2355814742
554	0.2355154883
555	0.2354927144
556	0.2353699862
557	0.2351711904
558	0.2351130265
559	0.2349764109
560	0.2349124682
561	0.2348259023
562	0.2347944749
563	0.2346416181
564	0.2346103028
565	0.2344965516
566	0.2344494475
567	0.2343342562
568	0.2342995272
569	0.2341962215
570	0.2341212014
571	0.233956471
572	0.2339153796
573	0.2337550541
574	0.2336816044
575	0.2335016977
576	0.2333395693
577	0.2332833268
578	0.2331770943
579	0.2330375079
580	0.2329662148
581	0.2329154427
582	0.2328015735
583	0.2327616643
584	0.2326308815
585	0.2324892729
586	0.2324120991
587	0.2323047711
588	0.2321514874
589	0.2321284339
590	0.2319881468
591	0.2318559298
592	0.2317454937
593	0.231675309
594	0.2315315933
595	0.2314226482
596	0.2313152532
597	0.231209326
598	0.231107242
599	0.2308773419
600	0.2308157739
601	0.2307427839
602	0.2306464996
603	0.2305287261
604	0.2304170791
605	0.2302962557
606	0.2301719889
607	0.2300665065
608	0.2298440129
609	0.2297568702
610	0.2296818288
611	0.2295497047
612	0.2295085898
613	0.2294397291
614	0.2293418105
615	0.2292491727
616	0.2291676915
617	0.2290800944
618	0.2289832206
619	0.228757038
620	0.2286856777
621	0.2285457006
622	0.2284336286
623	0.2283385889
624	0.2282321982
625	0.2280837423
626	0.2279078947
627	0.2278420263
628	0.2277353945
629	0.2275196362
630	0.227439166
631	0.2273728167
632	0.2272803991
633	0.2271226398
634	0.2271063228
635	0.2269929993
636	0.2268494922
637	0.2267521713
638	0.2266413439
639	0.2265333081
640	0.2264131822
641	0.2263274545
642	0.2262920736
643	0.2262301682
644	0.2260524237
645	0.2258528522
646	0.225722815
647	0.225709102
648	0.2255987223
649	0.2255449656
650	0.2254792338
651	0.2253813041
652	0.2251572893
653	0.2250528606
654	0.2249040196
655	0.2247815203
656	0.2247672272
657	0.2246782709
658	0.2245161971
659	0.2244482479
660	0.2244162449
661	0.2243544654
662	0.2242901821
663	0.2241984667
664	0.2240824384
665	0.2240069046
666	0.2238155451
667	0.2237166497
668	0.2236980728
669	0.2236266415
670	0.2235023891
671	0.2233562032
672	0.2231749059
673	0.2230750781
674	0.2230313179
675	0.2230095263
676	0.2228390576
677	0.2227331026
678	0.2226666893
679	0.2225217874
680	0.2224164125
681	0.2222668977
682	0.2220374964
683	0.2219066008
684	0.2217298135
