iter	Passed	Remaining
0	186	186062
1	223	111738
2	264	87798
3	301	75081
4	327	65170
5	347	57524
6	385	54669
7	450	55841
8	488	53797
9	525	52017
10	561	50469
11	597	49191
12	634	48141
13	672	47341
14	709	46618
15	760	46742
16	804	46545
17	830	45292
18	865	44689
19	901	44168
20	936	43664
21	984	43765
22	1010	42935
23	1048	42634
24	1087	42416
25	1123	42095
26	1157	41712
27	1194	41470
28	1230	41184
29	1269	41038
30	1306	40834
31	1341	40591
32	1378	40381
33	1413	40149
34	1450	39983
35	1494	40029
36	1545	40223
37	1580	40002
38	1615	39813
39	1658	39807
40	1695	39650
41	1731	39498
42	1767	39346
43	1802	39173
44	1842	39104
45	1879	38984
46	1918	38890
47	1970	39075
48	2008	38985
49	2047	38894
50	2080	38717
51	2114	38555
52	2154	38503
53	2191	38384
54	2228	38287
55	2266	38201
56	2301	38067
57	2337	37956
58	2372	37836
59	2410	37766
60	2450	37723
61	2486	37622
62	2519	37474
63	2554	37364
64	2591	37271
65	2629	37218
66	2692	37491
67	2731	37438
68	2781	37529
69	2817	37430
70	2855	37362
71	2889	37244
72	2926	37165
73	2961	37056
74	2997	36972
75	3041	36983
76	3078	36899
77	3115	36822
78	3150	36725
79	3188	36662
80	3241	36772
81	3279	36717
82	3316	36642
83	3351	36548
84	3389	36489
85	3428	36434
86	3466	36380
87	3501	36290
88	3536	36198
89	3571	36114
90	3606	36027
91	3645	35974
92	3683	35921
93	3729	35941
94	3767	35893
95	3806	35845
96	3844	35790
97	3882	35739
98	3917	35650
99	3953	35584
100	3988	35502
101	4027	35454
102	4093	35646
103	4139	35663
104	4174	35585
105	4210	35513
106	4248	35455
107	4292	35449
108	4339	35476
109	4382	35460
110	4418	35384
111	4458	35352
112	4495	35289
113	4602	35772
114	4732	36419
115	4769	36347
116	4807	36278
117	4843	36203
118	4879	36127
119	4914	36042
120	4948	35946
121	4988	35899
122	5032	35883
123	5070	35819
124	5124	35871
125	5162	35806
126	5199	35738
127	5232	35648
128	5266	35562
129	5301	35481
130	5339	35421
131	5376	35354
132	5422	35350
133	5460	35288
134	5497	35224
135	5533	35154
136	5567	35074
137	5606	35018
138	5654	35027
139	5690	34958
140	5738	34960
141	5774	34893
142	5809	34818
143	5845	34748
144	5898	34783
145	5952	34815
146	5988	34749
147	6025	34686
148	6074	34692
149	6112	34637
150	6148	34570
151	6185	34506
152	6221	34443
153	6240	34283
154	6276	34214
155	6310	34143
156	6346	34079
157	6382	34011
158	6417	33943
159	6454	33888
160	6490	33823
161	6527	33763
162	6576	33767
163	6611	33702
164	6650	33656
165	6686	33595
166	6723	33537
167	6773	33545
168	6808	33478
169	6851	33452
170	6889	33401
171	6952	33470
172	6991	33421
173	7048	33461
174	7088	33418
175	7125	33361
176	7162	33301
177	7202	33259
178	7240	33208
179	7280	33168
180	7323	33139
181	7366	33107
182	7407	33071
183	7446	33021
184	7484	32972
185	7555	33065
186	7604	33060
187	7652	33050
188	7689	32994
189	7726	32939
190	7763	32881
191	7797	32815
192	7833	32753
193	7870	32698
194	7907	32643
195	7946	32597
196	7982	32536
197	8019	32482
198	8056	32429
199	8094	32377
200	8129	32316
201	8168	32270
202	8205	32214
203	8241	32158
204	8277	32098
205	8313	32042
206	8351	31994
207	8386	31934
208	8422	31875
209	8456	31811
210	8491	31750
211	8528	31699
212	8587	31730
213	8623	31673
214	8669	31653
215	8708	31608
216	8745	31557
217	8782	31504
218	8819	31451
219	8855	31395
220	8894	31353
221	8929	31294
222	8968	31248
223	9018	31242
224	9058	31202
225	9093	31144
226	9128	31084
227	9165	31032
228	9201	30978
229	9238	30929
230	9273	30873
231	9313	30831
232	9353	30789
233	9389	30735
234	9426	30686
235	9474	30670
236	9525	30666
237	9561	30613
238	9598	30562
239	9636	30515
240	9672	30462
241	9712	30421
242	9749	30371
243	9787	30326
244	9825	30277
245	9863	30232
246	9922	30251
247	9960	30201
248	10018	30215
249	10058	30174
250	10093	30120
251	10132	30074
252	10169	30026
253	10204	29969
254	10239	29916
255	10277	29869
256	10314	29818
257	10351	29769
258	10387	29719
259	10426	29676
260	10466	29634
261	10505	29591
262	10542	29542
263	10579	29495
264	10647	29530
265	10681	29474
266	10717	29422
267	10752	29368
268	10787	29313
269	10823	29264
270	10875	29254
271	10922	29232
272	10957	29179
273	10995	29133
274	11034	29089
275	11078	29060
276	11124	29036
277	11160	28983
278	11200	28943
279	11237	28895
280	11270	28838
281	11306	28787
282	11344	28741
283	11379	28687
284	11413	28634
285	11451	28588
286	11485	28534
287	11521	28484
288	11554	28427
289	11594	28385
290	11649	28382
291	11685	28332
292	11721	28284
293	11758	28235
294	11799	28198
295	11833	28144
296	11868	28092
297	11903	28040
298	11939	27991
299	11974	27939
300	12009	27889
301	12045	27839
302	12083	27795
303	12120	27748
304	12155	27697
305	12196	27660
306	12231	27609
307	12264	27555
308	12298	27501
309	12334	27453
310	12371	27408
311	12408	27361
312	12444	27315
313	12480	27265
314	12518	27222
315	12553	27172
316	12601	27149
317	12648	27127
318	12684	27078
319	12721	27032
320	12756	26982
321	12791	26934
322	12829	26889
323	12864	26840
324	12901	26795
325	12936	26745
326	12971	26696
327	13006	26648
328	13045	26606
329	13090	26576
330	13126	26531
331	13184	26528
332	13224	26488
333	13262	26445
334	13300	26402
335	13339	26360
336	13375	26314
337	13415	26274
338	13454	26233
339	13492	26190
340	13526	26141
341	13563	26095
342	13598	26046
343	13634	26000
344	13670	25953
345	13704	25904
346	13742	25860
347	13776	25810
348	13812	25765
349	13848	25719
350	13885	25674
351	13922	25630
352	13959	25585
353	13995	25539
354	14032	25495
355	14069	25451
356	14114	25422
357	14151	25377
358	14188	25334
359	14223	25286
360	14259	25241
361	14293	25192
362	14329	25146
363	14364	25098
364	14400	25052
365	14440	25015
366	14477	24971
367	14517	24932
368	14556	24891
369	14592	24847
370	14629	24802
371	14666	24759
372	14705	24720
373	14741	24674
374	14776	24628
375	14811	24580
376	14846	24534
377	14882	24488
378	14917	24443
379	14955	24401
380	14990	24355
381	15025	24308
382	15063	24266
383	15118	24252
384	15165	24225
385	15201	24180
386	15237	24135
387	15278	24098
388	15319	24062
389	15356	24019
390	15394	23978
391	15432	23935
392	15469	23893
393	15504	23846
394	15539	23801
395	15574	23754
396	15610	23710
397	15647	23668
398	15687	23629
399	15742	23614
400	15789	23586
401	15828	23545
402	15881	23526
403	15929	23500
404	15967	23458
405	16005	23416
406	16053	23389
407	16093	23351
408	16132	23311
409	16171	23270
410	16208	23228
411	16246	23187
412	16295	23161
413	16337	23124
414	16373	23080
415	16415	23045
416	16462	23016
417	16498	22971
418	16533	22926
419	16585	22903
420	16621	22859
421	16663	22823
422	16700	22781
423	16769	22781
424	16808	22740
425	16861	22719
426	16899	22677
427	16951	22654
428	16997	22623
429	17058	22612
430	17097	22571
431	17140	22536
432	17179	22496
433	17219	22456
434	17257	22414
435	17294	22371
436	17334	22333
437	17373	22292
438	17425	22267
439	17470	22234
440	17507	22191
441	17549	22154
442	17589	22115
443	17640	22090
444	17678	22048
445	17716	22006
446	17751	21960
447	17787	21916
448	17823	21872
449	17858	21827
450	17911	21803
451	17948	21760
452	17986	21719
453	18021	21673
454	18061	21634
455	18098	21590
456	18136	21549
457	18176	21510
458	18212	21466
459	18248	21422
460	18283	21376
461	18316	21329
462	18354	21287
463	18389	21242
464	18424	21198
465	18459	21153
466	18495	21109
467	18532	21066
468	18568	21023
469	18605	20980
470	18642	20937
471	18678	20894
472	18714	20850
473	18748	20805
474	18787	20765
475	18826	20725
476	18865	20684
477	18898	20638
478	18944	20605
479	18994	20577
480	19037	20541
481	19072	20497
482	19163	20512
483	19264	20538
484	19306	20501
485	19346	20460
486	19381	20415
487	19417	20372
488	19454	20329
489	19491	20286
490	19525	20241
491	19561	20197
492	19605	20161
493	19642	20119
494	19678	20076
495	19714	20031
496	19749	19988
497	19784	19943
498	19820	19899
499	19854	19854
500	19891	19811
501	19926	19767
502	19964	19726
503	20000	19683
504	20034	19637
505	20068	19592
506	20104	19549
507	20162	19527
508	20210	19496
509	20245	19451
510	20279	19406
511	20314	19362
512	20354	19322
513	20392	19281
514	20430	19240
515	20466	19197
516	20502	19153
517	20537	19110
518	20572	19066
519	20610	19025
520	20645	18981
521	20680	18937
522	20715	18893
523	20752	18851
524	20787	18807
525	20823	18764
526	20857	18719
527	20893	18677
528	20944	18648
529	20981	18605
530	21017	18563
531	21055	18522
532	21118	18503
533	21160	18465
